Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,33.9,20.7,27.5,0.0,17.9,32.8,49047.75
2000-01-02,32.9,22.2,27.3,0.6,23.1,43.6,48969.22
2000-01-03,32.1,21.0,26.9,0.0,20.6,40.7,48921.57
2000-01-04,32.2,20.9,26.7,0.0,25.1,47.2,48091.2
2000-01-05,30.5,21.0,25.7,0.0,23.7,45.4,48922.09
2000-01-06,30.2,17.5,23.0,5.4,20.0,46.4,48768.95
2000-01-07,29.9,18.3,23.9,2.3,19.9,32.4,47713.53
2000-01-08,30.4,18.9,24.7,0.0,14.6,33.1,47194.46
2000-01-09,31.4,16.9,24.3,1.4,16.8,34.9,48604.4
2000-01-10,32.6,18.5,25.9,0.0,14.7,33.5,48716.59
2000-01-11,33.0,21.1,26.7,0.0,28.2,52.9,47572.66
2000-01-12,32.7,19.2,26.0,0.1,20.5,40.3,48531.04
2000-01-13,30.5,18.0,24.2,0.0,20.8,41.0,48073.24
2000-01-14,30.6,17.2,24.0,0.0,17.9,37.8,48411.94
2000-01-15,29.2,20.5,23.7,4.6,16.6,41.4,44823.06
2000-01-16,29.0,19.1,23.7,0.8,19.7,42.5,48073.08
2000-01-17,30.9,14.9,23.6,0.0,18.1,38.5,48230.21
2000-01-18,34.4,20.3,27.5,0.0,23.7,48.6,48060.03
2000-01-19,35.8,22.1,29.0,0.0,21.8,40.7,47932.48
2000-01-20,33.3,21.6,27.4,0.0,20.2,41.4,47865.02
2000-01-21,25.9,19.4,23.2,0.9,28.1,57.2,47512.22
2000-01-22,28.8,13.7,21.7,0.0,18.8,35.6,47577.78
2000-01-23,30.1,18.4,24.4,0.0,27.2,52.2,46499.8
2000-01-24,29.7,17.5,23.3,0.0,25.0,51.5,47167.45
2000-01-25,31.3,17.3,24.3,0.0,19.8,39.2,47115.57
2000-01-26,33.2,19.5,26.6,0.0,21.0,41.8,47104.34
2000-01-27,33.3,21.2,27.2,0.2,22.3,48.6,39760.99
2000-01-28,34.0,21.0,27.2,7.4,20.9,51.8,46114.57
2000-01-29,30.4,20.9,25.5,0.0,21.3,45.4,46893.06
2000-01-30,31.6,20.7,26.6,0.0,19.8,35.3,46800.0
2000-01-31,33.0,19.8,26.0,1.8,17.1,36.0,46800.0
2000-02-01,31.9,20.3,24.8,13.3,20.1,52.2,38067.3
2000-02-02,26.8,18.6,22.4,1.8,22.2,44.3,46804.73
2000-02-03,30.1,16.0,23.1,0.0,23.2,46.1,46800.0
2000-02-04,32.9,19.0,26.0,0.0,16.3,35.3,46755.95
2000-02-05,25.4,20.2,22.7,2.5,15.5,23.8,12755.91
2000-02-06,29.4,16.3,23.0,0.0,13.0,25.9,46645.84
2000-02-07,26.6,20.3,22.6,8.9,19.7,42.5,7468.31
2000-02-08,26.3,18.1,22.2,9.8,12.1,22.7,21099.86
2000-02-09,28.2,18.2,23.1,8.1,20.2,45.7,42870.09
2000-02-10,28.9,17.7,22.0,15.9,18.6,44.3,37426.33
2000-02-11,22.0,16.5,18.8,13.1,16.5,43.6,15773.32
2000-02-12,22.9,15.6,19.0,0.0,21.9,44.3,42677.45
2000-02-13,22.6,10.7,17.2,0.0,14.7,28.4,45791.65
2000-02-14,23.6,11.3,17.8,0.0,16.6,34.6,45657.92
2000-02-15,25.0,14.2,19.5,0.0,20.4,40.3,45522.86
2000-02-16,26.9,16.3,21.5,0.0,27.6,54.4,45386.61
2000-02-17,27.8,18.3,22.8,0.0,31.3,59.4,45249.28
2000-02-18,24.6,18.2,21.9,0.8,25.3,46.4,45111.01
2000-02-19,23.6,11.8,18.2,0.0,12.9,27.0,44971.92
2000-02-20,28.6,12.6,20.6,0.0,12.2,24.5,44832.13
2000-02-21,30.9,15.8,23.2,0.0,15.3,30.6,44691.77
2000-02-22,31.1,17.6,24.3,0.0,20.9,42.5,44550.95
2000-02-23,32.5,20.8,25.6,5.7,18.4,34.6,43089.25
2000-02-24,32.0,19.1,24.6,4.6,12.2,27.4,43025.88
2000-02-25,29.6,20.4,24.0,7.8,12.7,32.8,44027.23
2000-02-26,24.0,19.5,21.2,22.1,15.5,32.0,17001.18
2000-02-27,21.8,16.2,18.7,5.0,31.5,58.7,32443.4
2000-02-28,21.6,11.2,16.6,0.0,21.2,42.1,43702.3
2000-02-29,26.8,12.8,19.8,0.0,20.5,34.9,42452.32
2000-03-01,24.0,18.0,20.6,0.0,22.8,44.6,25970.96
2000-03-02,24.5,16.7,19.4,6.1,18.2,41.4,17119.27
2000-03-03,27.3,17.3,20.6,1.8,16.0,34.2,37893.76
2000-03-04,25.8,15.5,20.3,0.3,17.7,32.4,41051.43
2000-03-05,27.7,15.9,21.5,0.0,8.9,19.8,41611.74
2000-03-06,28.7,17.1,22.8,0.0,13.2,27.4,41908.33
2000-03-07,28.0,17.6,22.6,0.0,15.2,31.7,41352.02
2000-03-08,25.1,17.6,21.0,0.1,16.5,33.8,26635.61
2000-03-09,26.8,17.4,21.8,0.0,23.9,45.4,41200.37
2000-03-10,28.0,18.5,22.8,0.0,21.5,41.8,40714.9
2000-03-11,29.9,19.1,24.2,0.3,17.0,34.9,40590.25
2000-03-12,26.9,18.2,21.3,19.8,22.2,55.1,25575.75
2000-03-13,24.5,18.2,20.2,18.4,15.6,40.0,24833.6
2000-03-14,24.2,13.2,18.4,0.0,18.3,36.0,40443.95
2000-03-15,21.6,16.9,19.2,5.0,20.7,38.2,32671.61
2000-03-16,20.3,12.9,17.0,0.0,19.2,35.3,39938.32
2000-03-17,22.9,9.1,15.8,0.0,15.4,32.0,40211.99
2000-03-18,25.2,9.4,17.2,0.0,11.1,25.9,40110.86
2000-03-19,24.7,15.5,19.6,3.0,23.4,63.7,36009.86
2000-03-20,19.9,12.5,16.6,0.6,13.8,33.1,32051.27
2000-03-21,19.6,9.2,14.3,0.0,12.9,27.0,39742.09
2000-03-22,21.8,10.1,16.0,0.3,30.6,58.0,38136.07
2000-03-23,22.5,15.4,18.5,11.6,23.8,42.8,30817.67
2000-03-24,20.7,12.5,16.5,0.0,25.8,47.2,39379.39
2000-03-25,27.5,13.1,19.3,0.0,28.4,52.9,39126.44
2000-03-26,20.0,13.8,17.0,0.0,16.2,33.5,38827.25
2000-03-27,15.1,9.0,12.2,0.0,23.6,47.5,38972.25
2000-03-28,19.5,5.9,12.1,0.0,16.2,41.4,38879.29
2000-03-29,22.2,7.4,14.4,0.0,23.6,45.0,38746.66
2000-03-30,20.8,11.4,16.1,0.0,23.9,41.8,38651.84
2000-03-31,19.7,9.7,14.2,0.0,10.5,25.6,34957.29
2000-04-01,21.8,7.1,14.3,0.0,10.9,22.3,38463.11
2000-04-02,23.9,10.9,16.8,0.0,23.1,44.3,38369.41
2000-04-03,24.6,15.0,19.1,0.0,24.2,46.4,38276.3
2000-04-04,21.4,12.4,17.0,0.0,18.9,34.6,28800.0
2000-04-05,19.7,12.6,16.3,3.4,18.1,40.7,35532.6
2000-04-06,21.1,8.1,14.5,0.0,8.0,21.6,38001.57
2000-04-07,24.2,9.1,16.5,0.0,12.2,25.9,37795.65
2000-04-08,24.4,13.5,18.6,0.0,16.5,33.8,37706.55
2000-04-09,23.2,14.9,17.7,1.2,21.1,39.2,21991.75
2000-04-10,18.2,12.5,15.0,0.0,13.3,28.1,37284.5
2000-04-11,20.1,7.1,13.9,0.0,9.4,17.6,37079.48
2000-04-12,22.0,10.1,15.5,0.0,23.2,44.3,36770.41
2000-04-13,23.0,12.5,17.5,0.0,22.0,38.5,35745.03
2000-04-14,21.0,13.9,17.1,0.4,14.8,25.6,2065.95
2000-04-15,19.5,13.4,15.8,4.9,17.2,28.1,13644.21
2000-04-16,16.9,12.5,14.1,1.5,20.8,39.6,10972.33
2000-04-17,17.1,8.0,12.6,0.0,11.6,22.7,35702.25
2000-04-18,19.4,8.3,13.7,0.0,9.1,23.4,35303.72
2000-04-19,21.0,10.3,15.2,0.0,15.4,30.6,35413.02
2000-04-20,22.5,10.4,15.8,0.0,18.0,34.9,35213.12
2000-04-21,20.1,10.6,15.0,0.0,15.3,28.1,33157.44
2000-04-22,23.6,9.9,16.1,0.0,25.2,46.4,35104.63
2000-04-23,27.6,11.4,18.4,0.0,18.2,36.0,35006.74
2000-04-24,27.5,9.7,18.3,0.0,19.1,35.3,34947.37
2000-04-25,21.2,12.4,17.6,0.0,18.8,33.8,16252.36
2000-04-26,17.9,6.5,12.3,0.4,9.5,19.1,28806.36
2000-04-27,19.0,9.4,13.4,0.0,8.7,19.8,34769.72
2000-04-28,21.1,7.5,13.8,0.0,13.1,28.1,34710.7
2000-04-29,20.0,11.7,15.2,0.5,14.1,34.9,15430.65
2000-04-30,18.9,7.4,13.1,0.5,13.4,28.4,34572.8
2000-05-01,16.9,11.7,13.6,4.0,18.4,43.6,16536.97
2000-05-02,14.8,6.6,10.8,0.0,18.0,35.6,34308.18
2000-05-03,13.1,6.3,9.3,0.0,18.4,37.8,26089.49
2000-05-04,12.2,2.2,7.3,0.0,8.9,17.3,34046.97
2000-05-05,14.7,1.4,7.8,0.0,13.8,29.2,33917.94
2000-05-06,18.4,4.5,10.9,0.9,14.0,25.2,33790.13
2000-05-07,13.4,7.7,10.6,0.0,14.3,26.3,24507.38
2000-05-08,18.6,6.9,11.8,0.0,25.0,47.9,33538.65
2000-05-09,16.1,7.7,11.5,0.0,23.4,49.0,33107.54
2000-05-10,17.3,5.6,11.0,0.0,20.9,40.0,33293.58
2000-05-11,19.9,11.6,14.8,0.7,24.5,50.0,32152.37
2000-05-12,20.2,8.4,13.4,0.0,13.8,25.6,33056.02
2000-05-13,17.5,8.8,12.4,5.2,13.8,29.2,9904.72
2000-05-14,13.1,10.9,12.1,11.1,23.1,43.2,735.64
2000-05-15,13.0,10.8,11.9,48.6,20.7,40.3,0.0
2000-05-16,14.8,11.5,12.9,7.8,24.5,45.4,1673.55
2000-05-17,13.8,8.4,11.1,0.0,16.5,31.0,16718.23
2000-05-18,13.3,6.9,10.3,0.0,11.0,23.4,21785.49
2000-05-19,15.1,10.2,12.1,0.0,23.1,43.2,16416.43
2000-05-20,16.3,10.9,13.1,0.0,19.9,37.1,20573.76
2000-05-21,16.2,9.1,12.1,0.0,18.9,33.5,31115.74
2000-05-22,14.2,6.4,11.2,1.2,13.0,30.2,31073.21
2000-05-23,17.1,5.4,11.0,0.0,13.4,32.8,31208.74
2000-05-24,17.3,13.5,14.9,6.3,22.0,43.2,12663.18
2000-05-25,17.5,8.2,12.7,0.0,18.0,36.0,31346.98
2000-05-26,14.8,7.0,10.8,0.0,19.2,34.2,31228.76
2000-05-27,16.8,4.3,9.9,0.0,12.2,21.2,31055.27
2000-05-28,17.4,7.4,11.5,0.0,12.8,21.6,28800.0
2000-05-29,16.7,7.8,11.7,0.0,16.8,31.7,30359.42
2000-05-30,11.5,7.9,9.4,1.0,20.6,42.1,17354.74
2000-05-31,9.5,6.0,7.3,0.8,12.3,23.0,16739.98
2000-06-01,9.7,2.8,6.7,0.0,24.9,47.2,19142.62
2000-06-02,14.9,8.1,11.1,0.0,27.3,49.0,11077.84
2000-06-03,17.2,9.7,13.1,0.0,25.2,43.2,30698.18
2000-06-04,17.5,11.9,14.4,0.0,26.3,48.6,22374.38
2000-06-05,14.8,6.9,11.5,0.0,14.1,28.1,30661.17
2000-06-06,12.5,2.0,7.2,0.0,9.4,17.6,29351.34
2000-06-07,14.9,4.6,8.8,0.0,20.2,36.7,30639.71
2000-06-08,16.2,6.2,10.4,0.0,16.6,29.2,30620.64
2000-06-09,15.4,6.4,10.7,0.0,14.4,30.6,28642.61
2000-06-10,14.3,6.1,11.0,0.0,13.1,29.9,30604.6
2000-06-11,14.8,5.1,9.6,0.0,25.2,47.2,29677.02
2000-06-12,14.3,9.4,11.5,0.0,28.8,55.4,10222.07
2000-06-13,15.6,8.3,11.9,1.4,16.8,34.9,5759.69
2000-06-14,15.2,9.7,12.4,0.3,15.1,30.2,5391.84
2000-06-15,9.6,5.0,8.1,0.3,25.9,45.4,6079.44
2000-06-16,6.9,0.6,3.6,0.0,15.5,30.6,30099.4
2000-06-17,8.1,0.2,4.0,0.0,8.9,20.9,28119.02
2000-06-18,8.8,1.9,4.7,0.0,9.4,22.0,29666.16
2000-06-19,7.6,-0.3,3.4,0.0,7.9,16.6,19285.31
2000-06-20,9.4,-2.1,3.8,0.0,14.0,23.0,27361.54
2000-06-21,11.1,3.8,6.3,0.0,25.5,43.9,16160.43
2000-06-22,13.2,5.3,8.3,0.1,16.5,32.4,30531.66
2000-06-23,12.3,3.4,7.3,0.0,13.1,22.7,29064.91
2000-06-24,9.8,7.8,9.0,6.7,18.5,33.1,0.0
2000-06-25,14.5,3.3,8.1,0.0,16.6,30.2,30563.45
2000-06-26,13.3,5.5,9.0,0.3,20.3,34.9,24706.71
2000-06-27,12.5,8.2,9.6,1.1,23.3,43.6,1853.0
2000-06-28,14.6,5.4,9.0,0.0,16.2,33.8,30628.39
2000-06-29,13.3,3.6,8.0,0.0,16.8,32.0,28902.89
2000-06-30,12.3,8.6,9.9,4.1,27.7,50.0,2263.37
2000-07-01,13.9,5.0,8.7,0.0,25.2,49.0,30727.58
2000-07-02,11.8,3.5,7.2,0.4,29.4,58.7,21857.38
2000-07-03,14.1,3.5,8.4,0.0,26.0,46.8,14290.73
2000-07-04,15.1,5.7,10.7,0.0,14.5,28.8,28424.07
2000-07-05,15.5,6.5,10.1,0.0,16.7,29.9,30870.71
2000-07-06,14.4,6.1,9.9,0.0,15.0,26.3,14799.7
2000-07-07,9.2,5.6,7.4,7.3,19.3,35.6,0.0
2000-07-08,7.5,3.3,4.9,0.1,16.5,32.0,16998.12
2000-07-09,7.9,-0.9,3.3,0.1,21.7,37.1,23520.41
2000-07-10,6.8,0.9,3.2,0.4,21.2,37.8,24726.27
2000-07-11,6.9,-0.5,2.7,0.0,28.1,51.5,31255.06
2000-07-12,4.0,-0.8,1.2,2.6,21.8,35.6,13660.01
2000-07-13,6.1,-3.7,0.7,0.0,20.1,36.7,29294.23
2000-07-14,7.2,-0.0,3.4,2.9,23.9,44.6,28800.0
2000-07-15,6.8,0.6,3.4,0.0,24.6,46.4,30912.86
2000-07-16,8.5,-4.0,1.9,0.0,19.4,32.8,31485.94
2000-07-17,11.3,1.8,5.3,0.0,19.5,36.4,29233.41
2000-07-18,8.3,1.4,4.5,0.0,33.7,61.9,29574.65
2000-07-19,8.5,0.2,4.7,0.0,25.3,47.2,31627.41
2000-07-20,14.2,5.6,8.9,0.3,20.1,39.6,26428.59
2000-07-21,7.8,2.0,5.3,0.0,25.4,47.5,26190.04
2000-07-22,8.3,-1.1,3.1,0.0,17.7,34.6,31858.83
2000-07-23,15.3,1.2,7.1,0.0,23.1,45.4,31824.52
2000-07-24,15.0,5.4,9.4,0.0,32.2,60.1,31428.47
2000-07-25,12.5,0.9,6.6,0.0,11.2,22.0,32085.38
2000-07-26,15.0,4.6,8.7,0.0,28.1,53.6,32026.44
2000-07-27,13.9,2.7,7.7,0.0,14.7,27.7,32142.35
2000-07-28,14.0,-1.2,5.6,0.0,10.6,23.4,32470.61
2000-07-29,14.3,2.9,7.7,0.0,19.9,36.4,28880.86
2000-07-30,15.6,5.1,9.6,0.0,25.7,45.7,29755.59
2000-07-31,16.7,7.7,11.7,0.0,26.2,45.7,30546.57
2000-08-01,16.7,8.5,11.9,0.0,23.8,41.8,32496.68
2000-08-02,11.9,2.5,6.9,0.0,16.6,33.1,33170.01
2000-08-03,12.7,-0.9,5.3,0.0,13.2,22.0,33317.07
2000-08-04,13.8,5.0,8.6,0.0,28.5,54.0,33152.8
2000-08-05,17.8,3.3,9.8,0.0,22.4,42.1,30092.66
2000-08-06,11.6,6.9,9.7,3.5,14.1,26.3,463.67
2000-08-07,16.0,6.6,10.2,0.0,21.2,42.8,33631.3
2000-08-08,12.5,4.5,8.5,0.0,20.9,38.9,11856.47
2000-08-09,12.9,-0.3,6.3,0.0,13.7,28.1,33932.5
2000-08-10,11.8,-0.5,5.5,0.0,12.6,27.4,34004.15
2000-08-11,12.0,-1.9,5.0,0.0,11.9,20.2,34121.88
2000-08-12,12.0,1.4,6.2,0.0,22.0,44.3,34198.73
2000-08-13,14.4,3.5,8.3,0.0,22.1,43.6,34235.96
2000-08-14,18.2,3.7,10.3,0.0,15.1,28.4,34353.18
2000-08-15,16.7,5.3,10.4,0.0,13.0,25.6,34396.38
2000-08-16,14.2,8.9,10.9,0.5,19.5,33.5,563.54
2000-08-17,17.4,5.5,10.9,0.0,18.7,37.8,34585.96
2000-08-18,20.9,6.5,13.4,0.0,21.3,43.6,33402.68
2000-08-19,13.5,6.2,9.8,0.0,29.7,54.7,26378.44
2000-08-20,13.3,4.0,8.1,0.0,16.3,35.6,34984.12
2000-08-21,9.1,7.3,8.1,6.1,20.0,36.4,0.0
2000-08-22,8.2,6.2,7.1,8.3,24.7,41.0,0.0
2000-08-23,8.1,6.0,6.8,15.9,19.4,34.9,0.0
2000-08-24,9.9,6.0,7.5,5.2,13.0,24.5,13.57
2000-08-25,14.4,4.4,8.8,0.0,18.3,35.3,35793.64
2000-08-26,13.5,1.2,7.3,0.0,22.3,42.5,36291.04
2000-08-27,8.8,3.2,6.7,0.1,26.6,59.4,36782.99
2000-08-28,14.3,2.9,8.0,1.2,32.8,63.0,35648.21
2000-08-29,12.8,4.3,8.2,0.0,20.9,40.3,36930.26
2000-08-30,11.4,5.7,8.5,1.2,25.0,47.9,1562.44
2000-08-31,14.7,-0.3,6.9,0.0,18.0,35.6,37363.93
2000-09-01,15.9,1.1,8.0,0.0,10.7,20.9,37146.11
2000-09-02,14.2,3.0,8.0,0.0,11.2,25.9,37658.94
2000-09-03,17.6,3.2,9.8,0.0,22.3,43.2,37745.45
2000-09-04,19.8,6.7,12.4,0.0,20.6,37.4,37799.38
2000-09-05,19.2,5.0,11.3,0.0,19.4,39.6,37853.23
2000-09-06,20.9,11.6,15.3,0.0,27.7,50.4,35200.17
2000-09-07,18.7,10.4,14.4,0.2,21.9,42.5,37960.68
2000-09-08,12.3,5.2,8.5,0.8,22.4,36.4,5420.16
2000-09-09,8.4,4.4,6.6,7.9,20.8,44.6,0.0
2000-09-10,9.1,7.7,8.2,7.6,21.2,40.0,0.0
2000-09-11,12.5,4.2,8.0,0.0,45.6,85.3,38551.17
2000-09-12,11.3,-0.4,5.4,0.0,13.2,27.4,30554.5
2000-09-13,8.8,0.3,4.7,0.0,19.4,41.8,25261.19
2000-09-14,8.3,2.5,5.1,0.0,15.6,31.0,22486.29
2000-09-15,10.6,4.2,7.0,1.1,14.1,33.1,31224.4
2000-09-16,13.7,5.1,9.4,0.0,20.1,37.1,19834.96
2000-09-17,17.9,7.8,12.4,0.0,27.0,52.9,37320.19
2000-09-18,21.0,9.7,14.4,0.1,16.7,27.7,36935.96
2000-09-19,21.8,5.5,14.3,0.0,30.8,56.5,40179.21
2000-09-20,16.5,9.3,13.1,13.3,28.2,54.7,23361.38
2000-09-21,13.7,6.7,9.7,0.0,24.8,46.4,22030.91
2000-09-22,19.5,7.3,12.9,0.1,26.3,50.8,27155.23
2000-09-23,14.7,6.7,11.3,0.2,27.6,55.1,40778.23
2000-09-24,12.2,2.4,7.5,0.0,14.2,29.2,40871.42
2000-09-25,20.0,4.9,11.8,0.0,23.7,45.7,41077.99
2000-09-26,24.2,9.7,16.2,0.0,24.1,42.1,41227.61
2000-09-27,25.4,11.8,17.9,0.0,24.2,42.8,41376.94
2000-09-28,23.9,10.0,16.6,0.0,15.9,30.6,41525.88
2000-09-29,22.3,10.8,15.6,0.0,19.7,37.1,35279.97
2000-09-30,18.5,9.7,12.9,0.0,18.5,35.3,31991.5
2000-10-01,15.2,8.1,10.9,0.0,19.7,37.4,25313.93
2000-10-02,13.5,8.4,10.2,34.8,24.5,60.5,7645.62
2000-10-03,11.5,7.4,9.0,1.4,18.3,36.0,0.0
2000-10-04,13.5,5.1,9.7,0.0,17.1,32.8,40413.41
2000-10-05,14.9,3.3,9.7,0.0,10.2,23.4,36105.67
2000-10-06,18.5,8.4,12.8,3.7,20.9,43.6,42134.91
2000-10-07,18.3,7.3,12.1,0.0,12.2,27.4,30002.99
2000-10-08,20.9,11.6,15.4,25.1,27.6,61.2,30798.88
2000-10-09,18.0,8.6,13.3,0.5,23.4,46.4,43039.46
2000-10-10,22.5,8.5,15.1,0.0,28.8,53.6,43127.68
2000-10-11,23.2,9.2,16.2,0.0,22.9,43.2,42337.94
2000-10-12,16.7,9.7,13.6,0.0,42.7,78.5,43200.0
2000-10-13,17.2,6.0,11.6,0.0,19.8,40.0,43200.0
2000-10-14,19.1,4.9,12.2,2.0,17.4,36.4,34715.41
2000-10-15,14.4,8.7,10.8,2.2,13.3,26.3,19664.22
2000-10-16,18.5,8.4,12.7,1.5,14.0,25.6,41164.46
2000-10-17,23.5,9.4,16.1,0.0,15.0,29.2,43377.02
2000-10-18,26.7,11.1,18.8,0.0,22.7,40.7,43347.84
2000-10-19,26.7,15.8,20.5,11.6,24.9,44.6,38931.22
2000-10-20,26.8,10.5,17.7,2.9,18.7,35.3,41549.58
2000-10-21,26.0,17.8,20.6,10.6,24.1,43.6,39304.15
2000-10-22,19.7,10.7,15.9,0.1,24.1,46.4,43755.16
2000-10-23,16.7,6.7,11.8,0.0,18.7,36.7,43871.07
2000-10-24,18.5,6.8,13.1,0.0,11.9,27.7,43972.23
2000-10-25,18.0,10.6,14.2,0.8,12.9,31.7,27884.36
2000-10-26,24.7,12.0,17.7,0.5,20.6,33.8,44057.02
2000-10-27,22.5,7.9,14.8,0.0,26.9,48.6,41636.18
2000-10-28,15.7,7.9,11.4,0.0,17.4,39.2,40512.87
2000-10-29,21.8,9.4,15.3,0.0,22.3,44.3,29353.27
2000-10-30,22.9,11.3,17.0,0.0,26.4,50.4,45043.05
2000-10-31,20.5,13.8,16.5,5.5,21.5,41.0,4958.93
2000-11-01,23.4,13.4,18.3,0.0,18.9,37.8,45800.98
2000-11-02,24.5,9.2,17.5,0.0,14.1,25.6,44094.44
2000-11-03,21.9,14.5,17.9,0.8,20.2,42.1,24064.53
2000-11-04,26.0,12.6,19.2,0.0,16.5,30.6,46173.56
2000-11-05,22.1,13.4,16.7,5.1,20.0,37.4,32210.88
2000-11-06,22.6,7.7,15.6,0.3,15.8,34.2,30910.85
2000-11-07,21.6,12.8,16.8,1.8,10.3,33.8,32066.43
2000-11-08,23.1,11.5,17.1,0.3,12.0,26.3,41208.88
2000-11-09,23.8,9.7,17.3,0.0,11.4,25.2,47254.87
2000-11-10,22.6,13.3,16.8,15.1,16.6,40.3,29171.09
2000-11-11,21.9,14.3,17.4,4.8,26.4,43.9,33114.68
2000-11-12,17.8,12.0,15.1,0.3,26.2,54.7,45340.84
2000-11-13,15.0,7.8,11.6,0.2,29.4,59.0,47697.53
2000-11-14,18.7,5.2,12.1,0.0,26.6,52.2,47802.29
2000-11-15,23.6,5.6,15.3,0.0,21.5,37.1,47905.71
2000-11-16,29.5,13.1,20.7,0.0,23.6,44.6,48007.79
2000-11-17,32.0,16.5,24.0,0.0,24.9,44.3,48108.37
2000-11-18,28.7,19.7,24.4,0.0,26.0,50.0,48207.39
2000-11-19,22.0,12.5,17.2,0.0,25.6,47.2,48304.68
2000-11-20,26.8,12.1,19.3,0.0,27.2,51.5,47439.47
2000-11-21,26.1,14.9,20.6,0.0,26.1,49.3,48493.61
2000-11-22,25.0,10.3,18.3,0.0,22.3,43.6,48584.99
2000-11-23,23.7,12.7,19.2,0.1,32.2,58.0,43575.01
2000-11-24,28.6,9.6,18.9,0.0,25.1,47.5,48760.94
2000-11-25,28.6,15.2,21.7,0.0,26.6,51.8,46768.9
2000-11-26,28.8,17.4,23.0,0.0,26.0,52.2,48926.93
2000-11-27,27.1,16.3,21.5,0.0,20.9,37.4,49005.85
2000-11-28,26.3,11.9,19.6,0.0,18.5,36.7,49081.89
2000-11-29,26.4,14.6,20.6,0.0,23.8,45.4,49154.88
2000-11-30,29.2,15.9,22.8,0.0,28.9,53.3,49224.71
2000-12-01,30.7,16.4,23.3,0.0,31.1,59.0,49291.21
2000-12-02,27.5,13.7,19.7,0.0,26.8,52.2,49354.28
2000-12-03,25.4,11.2,18.8,0.0,20.0,36.7,49413.76
2000-12-04,29.2,14.7,22.0,0.0,28.5,54.4,48370.49
2000-12-05,30.4,18.7,24.8,0.0,26.9,50.0,49523.74
2000-12-06,37.8,19.6,28.3,0.8,28.6,56.2,49574.53
2000-12-07,27.4,18.2,23.0,0.0,28.8,51.8,49622.42
2000-12-08,30.4,16.3,23.4,0.0,20.3,41.0,49623.98
2000-12-09,26.0,17.5,22.0,0.0,24.3,48.6,49618.05
2000-12-10,32.6,16.5,24.5,0.0,26.3,50.0,49609.96
2000-12-11,28.4,18.1,23.6,0.0,23.0,43.6,49599.78
2000-12-12,31.7,16.5,24.4,0.0,21.1,43.2,49587.57
2000-12-13,31.4,18.8,25.3,0.0,19.8,41.4,49573.39
2000-12-14,27.9,16.4,22.4,1.6,28.8,51.1,44324.48
2000-12-15,21.9,14.3,17.9,4.2,27.4,53.3,49539.37
2000-12-16,29.3,12.7,21.2,0.0,28.1,54.4,45229.45
2000-12-17,34.4,20.6,27.3,0.0,21.9,40.0,49498.21
2000-12-18,28.2,17.7,23.5,0.0,32.8,59.8,49475.12
2000-12-19,28.5,16.2,22.2,0.0,25.0,49.3,49450.43
2000-12-20,30.7,12.3,21.9,0.0,24.1,48.2,49424.21
2000-12-21,31.6,19.8,25.4,1.3,24.7,48.6,47520.5
2000-12-22,25.2,15.0,20.0,0.0,23.1,42.1,49408.94
2000-12-23,29.2,11.1,20.5,0.0,35.9,65.5,49377.78
2000-12-24,33.4,18.7,25.7,0.0,35.9,67.0,49345.13
2000-12-25,34.6,21.6,27.9,0.0,28.6,52.9,49271.39
2000-12-26,28.9,18.4,24.5,0.0,17.0,34.2,49235.22
2000-12-27,24.9,17.7,21.6,0.0,30.0,56.2,49362.22
2000-12-28,31.6,16.2,23.6,0.0,32.4,61.9,49323.32
2000-12-29,27.0,16.3,22.2,0.0,22.6,45.4,49215.75
2000-12-30,32.7,16.0,24.7,0.0,25.0,45.7,49239.23
2000-12-31,37.7,18.7,28.4,0.0,15.5,30.2,49126.01
2001-01-01,38.6,24.0,30.8,0.0,20.8,39.6,49147.66
2001-01-02,40.4,20.6,30.5,0.7,26.8,50.8,48928.79
2001-01-03,34.3,23.8,28.9,0.4,23.4,48.2,34919.85
2001-01-04,36.3,20.9,29.0,0.0,20.1,35.6,49068.87
2001-01-05,38.0,22.3,28.7,1.8,22.1,42.5,48775.39
2001-01-06,32.9,21.1,27.3,0.0,18.8,35.3,48822.68
2001-01-07,30.2,21.3,26.4,0.6,24.5,51.1,43587.75
2001-01-08,29.0,18.4,24.3,0.3,21.0,51.1,47040.04
2001-01-09,22.9,18.0,19.9,7.8,31.6,63.0,26938.98
2001-01-10,21.6,13.7,17.8,0.0,34.2,63.4,47504.93
2001-01-11,27.2,9.8,19.5,0.0,21.2,43.2,48681.93
2001-01-12,32.2,17.7,24.6,0.0,24.1,41.0,47630.7
2001-01-13,30.6,20.7,25.5,0.1,24.0,45.7,48305.88
2001-01-14,32.4,15.9,24.8,0.0,23.9,43.9,48438.9
2001-01-15,35.1,22.9,28.6,0.0,28.7,54.7,47812.67
2001-01-16,35.5,22.6,28.8,5.3,25.6,47.2,46006.32
2001-01-17,30.0,18.9,25.1,4.4,24.2,41.8,46837.66
2001-01-18,26.0,14.1,19.7,0.0,18.9,38.5,47883.94
2001-01-19,26.8,11.8,20.2,0.0,16.6,35.6,47967.37
2001-01-20,28.7,16.1,22.2,1.5,31.8,61.2,47604.16
2001-01-21,32.5,18.6,25.3,0.4,27.3,51.5,46926.5
